iter	Logloss
0	0.6875727844
1	0.682699585
2	0.678235321
3	0.6737463379
4	0.6694730377
5	0.6651317596
6	0.6609428406
7	0.656558609
8	0.6513290405
9	0.6470040894
10	0.6427861023
11	0.6382027817
12	0.6337390137
13	0.6297032928
14	0.625405426
15	0.6207153702
16	0.6162737656
17	0.6121232605
18	0.6077358246
19	0.6037556458
20	0.5980918121
21	0.5945520401
22	0.590943222
23	0.587379303
24	0.5818394852
25	0.5783452988
26	0.5739871216
27	0.5702745438
28	0.5664634705
29	0.561775589
30	0.5578879547
31	0.5545130539
32	0.5508354187
33	0.5475430298
34	0.5439466095
35	0.5407621765
36	0.537611618
37	0.5344203186
38	0.5304082489
39	0.5270437241
40	0.5237229156
41	0.5206958008
42	0.517754097
43	0.5138677216
44	0.5107772827
45	0.5074428177
46	0.5043053818
47	0.5013948059
48	0.4985167313
49	0.495099411
50	0.4923096848
51	0.4895714569
52	0.4862182617
53	0.4831252289
54	0.4797634888
55	0.4763080597
56	0.4733547211
57	0.4704757309
58	0.4678206635
59	0.4643082809
60	0.4614737701
61	0.4590048981
62	0.4555341339
63	0.4527893066
64	0.4496431732
65	0.4469946289
66	0.4438232803
67	0.4411450195
68	0.4385277557
69	0.4355112457
70	0.4330260849
71	0.4307291031
72	0.4276684189
73	0.4255223083
74	0.4227471924
75	0.4201268005
76	0.4173609924
77	0.4151279449
78	0.4126424789
79	0.4104295349
80	0.4082333374
81	0.4048112106
82	0.4024150085
83	0.399132309
84	0.3970223999
85	0.3951086044
86	0.3927907562
87	0.3904465485
88	0.3884906006
89	0.3866996002
90	0.3847573853
91	0.381620636
92	0.3798632813
93	0.3776054001
94	0.3759830475
95	0.3742504883
96	0.3720406342
97	0.3700750351
98	0.3682621002
99	0.366594696
100	0.3650188446
101	0.3629753113
102	0.3604755402
103	0.3589234924
104	0.35689991
105	0.3549477768
106	0.3531800079
107	0.351109848
108	0.348672142
109	0.3469713974
110	0.345331955
111	0.3436750031
112	0.3417617416
113	0.3396672058
114	0.3375444031
115	0.3361440277
116	0.3345412064
117	0.3325103378
118	0.330586319
119	0.3291255951
120	0.3272900009
121	0.3239210129
122	0.3220195007
123	0.3204115295
124	0.319247036
125	0.3178011322
126	0.3155045128
127	0.314102993
128	0.3126538849
129	0.3105735016
130	0.3085212326
131	0.3068812943
132	0.3057400513
133	0.304100647
134	0.3030451584
135	0.3016525078
136	0.3000141907
137	0.2987157249
138	0.2962814713
139	0.2948274612
140	0.2929609108
141	0.2914990234
142	0.2902387619
143	0.2889843559
144	0.2869980049
145	0.2860813141
146	0.2848183441
147	0.2837489891
148	0.2818814278
149	0.280277195
150	0.2786001968
151	0.2775315475
152	0.2761560059
153	0.274501915
154	0.2730286407
155	0.2717253113
156	0.2708779907
157	0.2699522591
158	0.2680301666
159	0.2671120834
160	0.2655557442
161	0.2644317055
162	0.2632056427
163	0.2621291542
164	0.2609597397
165	0.2602025604
166	0.2589425659
167	0.2582470131
168	0.2572330475
169	0.2556726837
170	0.2534555435
171	0.2521472359
172	0.2504289246
173	0.2490480423
174	0.2477084732
175	0.2460680389
176	0.2436436081
177	0.2424945831
178	0.240893898
179	0.2402017403
180	0.2388953209
181	0.2373955154
182	0.2356665421
183	0.234392128
184	0.2333118248
185	0.2320317078
186	0.2310169029
187	0.2296867943
188	0.2275779343
189	0.2253627014
190	0.2244333839
191	0.2235305214
192	0.2224551773
193	0.2212813568
194	0.220088768
195	0.2185640335
196	0.2175247574
197	0.2164416695
198	0.2153220367
199	0.2142579651
200	0.2132045746
201	0.2120951843
202	0.2113656998
203	0.2105319214
204	0.2094716263
205	0.208272438
206	0.2065270233
207	0.2056025696
208	0.2048477173
209	0.2034924698
210	0.2023249817
211	0.201341362
212	0.2004308319
213	0.199185276
214	0.1982321739
215	0.1970259857
216	0.1961105537
217	0.1954695892
218	0.1944349289
219	0.1935693741
220	0.1923523331
221	0.1914698792
222	0.1904349518
223	0.1895713806
224	0.188677063
225	0.1877946472
226	0.1863041306
227	0.1855015564
228	0.184131012
229	0.1829416656
230	0.1821403885
231	0.1810181046
232	0.1804468536
233	0.1791171265
234	0.1783969879
235	0.1772076607
236	0.1764081573
237	0.1751961136
238	0.1744078827
239	0.1727845383
240	0.1720692444
241	0.1710924721
242	0.1702762985
243	0.1695047379
244	0.1681716537
245	0.1671798897
246	0.1664840317
247	0.1656245041
248	0.1649153137
249	0.1637955856
250	0.1629483795
251	0.1620828056
252	0.1615229034
253	0.1607989311
254	0.1602404594
255	0.1591856575
256	0.1579953003
257	0.1571027184
258	0.1565535641
259	0.1557004166
260	0.1551218987
261	0.1542684937
262	0.1534858894
263	0.1524714947
264	0.1518986416
265	0.1512650681
266	0.1502454662
267	0.1497138119
268	0.1492682171
269	0.1485286331
270	0.1475828838
271	0.1468829632
272	0.1462844181
273	0.1453273487
274	0.1445779419
275	0.1440397739
276	0.1432778835
277	0.142799654
278	0.1422148228
279	0.1414989662
280	0.1410139465
281	0.1405397224
282	0.1400472641
283	0.1389925766
284	0.1382588196
285	0.1376021385
286	0.1364801216
287	0.1355180168
288	0.134730854
289	0.1340773201
290	0.1331868744
291	0.1327288055
292	0.1323026085
293	0.1316656303
294	0.1308618355
295	0.1302391243
296	0.129209671
297	0.1288109016
298	0.1282707214
299	0.1276591969
300	0.1269401932
301	0.125995636
302	0.1254016304
303	0.1250590324
304	0.1245957756
305	0.1238769531
306	0.1235180473
307	0.1230331326
308	0.1224996567
309	0.1219427204
310	0.1213248825
311	0.120971489
312	0.1201655388
313	0.1196580696
314	0.1192979622
315	0.1187687874
316	0.1184226799
317	0.1179717445
318	0.1172336483
319	0.1168750572
320	0.1164622307
321	0.1158387661
322	0.1155367374
323	0.1146496677
324	0.1139848328
325	0.1134731197
326	0.112905674
327	0.1124162674
328	0.1118954277
329	0.1111721706
330	0.1108333683
331	0.1100402355
332	0.1097520161
333	0.1094180775
334	0.1091033363
335	0.1086524296
336	0.1081996155
337	0.1076382542
338	0.1071690178
339	0.106902771
340	0.1066095543
341	0.1061980629
342	0.1055734158
343	0.1051436424
344	0.1048143196
345	0.1043563652
346	0.1040900517
347	0.1039759922
348	0.1035411453
349	0.1028653049
350	0.1026270866
351	0.1022841263
352	0.1019120216
353	0.1015155029
354	0.1010875702
355	0.1008586407
356	0.1004302216
357	0.1000435066
358	0.09979633331
359	0.09940052032
360	0.09899008751
361	0.09844355583
362	0.09818530083
363	0.09754250526
364	0.09704127312
365	0.09661048889
366	0.09600954056
367	0.09565914154
368	0.09519486427
369	0.09455130577
370	0.09433539391
371	0.09400891304
372	0.09338778496
373	0.093002491
374	0.09285959244
375	0.09233748436
376	0.0919874382
377	0.09166404724
378	0.09140601158
379	0.09106907845
380	0.09075501442
381	0.09052335739
382	0.09017976761
383	0.08988595963
384	0.08953214645
385	0.0892129612
386	0.08889001846
387	0.0885486412
388	0.08800207138
389	0.0876517868
390	0.08752099991
391	0.08720972061
392	0.08669101715
393	0.08649311066
394	0.08621940613
395	0.08591726303
396	0.08546052933
397	0.08497901917
398	0.08452580452
399	0.08398332596
400	0.0835266304
401	0.08322759628
402	0.08293056488
403	0.08272155762
404	0.08251972198
405	0.08223403931
406	0.08198188782
407	0.08169315338
408	0.08139129639
409	0.08106302261
410	0.08083440781
411	0.08066509247
412	0.08039159775
413	0.08019535065
414	0.08004909515
