iter	Passed	Remaining
0	12	12421
1	22	11237
2	33	11288
3	44	11135
4	55	11096
5	66	10997
6	77	10958
7	88	10943
8	99	10922
9	111	11052
10	123	11084
11	134	11042
12	146	11098
13	157	11121
14	169	11130
15	181	11182
16	197	11395
17	208	11371
18	222	11503
19	234	11500
20	247	11523
21	259	11545
22	273	11608
23	288	11723
24	301	11766
25	312	11714
26	324	11685
27	336	11689
28	348	11666
29	361	11685
30	374	11699
31	387	11731
32	402	11783
33	413	11758
34	426	11746
35	437	11721
36	451	11746
37	464	11752
38	479	11818
39	492	11826
40	503	11775
41	515	11753
42	528	11763
43	540	11747
44	551	11705
45	561	11641
46	572	11601
47	582	11547
48	592	11492
49	603	11474
50	616	11469
51	628	11453
52	642	11474
53	654	11473
54	667	11460
55	677	11416
56	688	11386
57	699	11354
58	708	11303
59	719	11271
60	729	11233
61	739	11187
62	751	11173
63	763	11171
64	775	11148
65	785	11117
66	796	11090
67	809	11098
68	824	11118
69	837	11124
70	849	11121
71	860	11090
72	871	11068
73	881	11025
74	891	10995
75	901	10965
76	911	10929
77	921	10895
78	931	10859
79	940	10819
80	950	10782
81	960	10750
82	969	10713
83	979	10682
84	989	10651
85	1000	10634
86	1011	10616
87	1023	10610
88	1031	10555
89	1042	10545
90	1054	10537
91	1068	10544
92	1082	10553
93	1097	10576
94	1111	10583
95	1124	10590
96	1139	10607
97	1152	10609
98	1166	10613
99	1180	10622
100	1192	10610
101	1207	10633
102	1219	10620
103	1232	10622
104	1248	10645
105	1259	10619
106	1270	10605
107	1285	10615
108	1300	10630
109	1315	10643
110	1331	10662
111	1346	10676
112	1362	10695
113	1377	10709
114	1393	10724
115	1404	10700
116	1419	10712
117	1435	10727
118	1450	10738
119	1465	10749
120	1481	10763
121	1497	10774
122	1513	10792
123	1530	10811
124	1548	10838
125	1566	10865
126	1582	10880
127	1599	10895
128	1615	10906
129	1630	10909
130	1645	10917
131	1661	10922
132	1676	10931
133	1692	10939
134	1708	10945
135	1723	10948
136	1739	10955
137	1755	10964
138	1770	10966
139	1786	10976
140	1801	10977
141	1817	10981
142	1832	10983
143	1848	10989
144	1864	10996
145	1880	10998
146	1895	11001
147	1904	10961
148	1920	10969
149	1936	10975
150	1953	10982
151	1968	10981
152	1984	10983
153	2000	10989
154	2015	10986
155	2030	10985
156	2046	10989
157	2062	10990
158	2077	10987
159	2093	10988
160	2108	10986
161	2123	10986
162	2138	10982
163	2154	10982
164	2170	10982
165	2185	10980
166	2201	10980
167	2216	10975
168	2231	10973
169	2246	10969
170	2263	10974
171	2279	10973
172	2294	10970
173	2309	10965
174	2325	10961
175	2340	10957
176	2356	10956
177	2371	10953
178	2387	10951
179	2403	10947
180	2419	10950
181	2435	10947
182	2452	10947
183	2467	10942
184	2480	10926
185	2496	10926
186	2512	10925
187	2528	10921
188	2544	10917
189	2560	10916
190	2579	10923
191	2595	10922
192	2610	10917
193	2626	10911
194	2641	10906
195	2658	10903
196	2673	10899
197	2690	10897
198	2706	10892
199	2722	10891
200	2739	10888
201	2755	10884
202	2770	10878
203	2785	10868
204	2800	10859
205	2817	10859
206	2833	10855
207	2849	10849
208	2864	10843
209	2880	10834
210	2894	10823
211	2909	10816
212	2926	10813
213	2947	10825
214	2965	10826
215	2980	10818
216	2996	10812
217	3012	10805
218	3028	10799
219	3044	10795
220	3060	10788
221	3077	10783
222	3092	10776
223	3107	10766
224	3124	10760
225	3139	10752
226	3155	10746
227	3172	10741
228	3188	10735
229	3204	10726
230	3220	10721
231	3236	10712
232	3251	10703
233	3266	10694
234	3282	10685
235	3298	10676
236	3313	10668
237	3329	10661
238	3346	10657
239	3363	10649
240	3380	10645
241	3397	10643
242	3415	10641
243	3432	10634
244	3449	10631
245	3468	10631
246	3485	10624
247	3504	10626
248	3520	10618
249	3537	10612
250	3554	10605
251	3571	10601
252	3591	10602
253	3608	10598
254	3624	10589
255	3641	10582
256	3657	10572
257	3673	10564
258	3689	10555
259	3705	10545
260	3721	10536
261	3737	10526
262	3752	10515
263	3768	10506
264	3784	10496
265	3800	10486
266	3815	10475
267	3831	10465
268	3847	10456
269	3863	10446
270	3879	10435
271	3894	10423
272	3909	10411
273	3924	10399
274	3939	10386
275	3955	10375
276	3971	10366
277	3988	10357
278	4003	10346
279	4018	10333
280	4034	10321
281	4049	10309
282	4065	10300
283	4082	10292
284	4098	10281
285	4114	10271
286	4130	10260
287	4146	10250
288	4162	10240
289	4178	10229
290	4193	10217
291	4210	10208
292	4226	10197
293	4241	10185
294	4256	10173
295	4272	10161
296	4288	10151
297	4304	10140
298	4320	10129
299	4336	10117
300	4351	10105
301	4367	10093
302	4382	10082
303	4399	10071
304	4414	10060
305	4430	10048
306	4447	10040
307	4465	10032
308	4481	10021
309	4496	10008
310	4511	9995
311	4528	9985
312	4543	9973
313	4559	9961
314	4575	9949
315	4593	9941
316	4609	9932
317	4625	9920
318	4641	9907
319	4657	9896
320	4672	9884
321	4689	9873
322	4705	9863
323	4721	9850
324	4736	9836
325	4752	9825
326	4768	9813
327	4784	9802
328	4800	9790
329	4816	9778
330	4832	9766
331	4849	9757
332	4865	9745
333	4874	9719
334	4889	9706
335	4905	9693
336	4920	9680
337	4935	9666
338	4951	9654
339	4967	9642
340	4982	9629
341	4998	9617
